frame,landmark,x,y,z,visibility
0,0,-0.0227753669023513,1.423404574394226,-0.4176896214485168,0.9999982118606568
0,1,-0.0039768666028976,1.4446197748184204,-0.409883439540863,0.9999955892562866
0,2,-0.0009390860795974,1.442463457584381,-0.396361380815506,0.9999932050704956
0,3,-0.0036317706108093,1.4431944489479065,-0.4001328349113464,0.999995231628418
0,4,-0.0252176374197006,1.448087453842163,-0.4151136875152588,0.9999982118606568
0,5,-0.0250686258077621,1.4487130045890808,-0.4268610775470733,0.9999980926513672
0,6,-0.0205431580543518,1.434983253479004,-0.4060849547386169,0.999998927116394
0,7,0.0728668943047523,1.4129398465156555,-0.2953270375728607,0.99999737739563
0,8,-0.0862668231129646,1.3756877779960632,-0.2710154354572296,0.9999974966049194
0,9,0.0253714360296726,1.403805911540985,-0.3645053803920746,0.9999990463256836
0,10,-0.0191860124468803,1.3723828792572021,-0.383499264717102,0.9999991655349731
0,11,0.1754157543182373,1.2356657087802887,-0.1301635503768921,0.9999947547912598
0,12,-0.140334352850914,1.3120912313461304,-0.0572469383478164,0.999996542930603
0,13,0.2405728548765182,1.0378542095422745,-0.0322204530239105,0.9967054724693298
0,14,-0.1740627288818359,1.0101885199546814,-0.0011681996984407,0.9967437982559204
0,15,0.2575761377811432,0.7661153674125671,0.0308719333261251,0.988200545310974
0,16,-0.2470261603593826,0.7858923971652986,-0.0337982736527919,0.9981036186218262
0,17,0.2549618482589721,0.715904138982296,0.0350463613867759,0.9676766395568848
0,18,-0.2359999269247055,0.7385184764862062,-0.0767232105135917,0.9952782392501832
0,19,0.2127123177051544,0.6986017376184464,0.0025864564813673,0.9705018997192384
0,20,-0.2018041759729385,0.7421803474426271,-0.1044489592313766,0.9956578016281128
0,21,0.2410525977611541,0.7261433899402618,0.0184417590498924,0.9604591727256776
0,22,-0.2316313683986663,0.7697972506284715,-0.0571591220796108,0.9934141039848328
0,23,0.1002074778079986,0.8280687509104611,0.0230197235941886,0.9999918937683104
0,24,-0.0996918603777885,0.8472999846562742,-0.0216087028384208,0.999995231628418
0,25,0.0874095261096954,0.38713309168815613,-0.0057356595061719,0.9978471994400024
0,26,-0.0546647608280181,0.46314385533332825,0.0454383455216884,0.993626594543457
0,27,0.1016315594315528,0.048153460025787354,0.2356757372617721,0.9940902590751648
0,28,-0.0661365762352943,0.07663941383361816,0.2871935665607452,0.9915217161178588
0,29,0.0854595825076103,0.012641847133636475,0.2614798247814178,0.9267098307609558
